id,kind,category,subcategory,name,zone,current_file,state,priority,placements,size_px,format,target_path,constraints,owner,status,notes
anim-bear-rage-tell,Animation,Animation,Animation,Bear rage tell,,,blocked,P2,,,spritesheet?,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,"Bear rages below half HP with NO visual tell — a gameplay gap, not polish."
anim-death-dissolve,Animation,Animation,Animation,Death dissolve,,,blocked,P3,,,spritesheet?,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,Death is a real beat in a game with a sacrifice loop; today a sprite just disappears.
anim-aura-ring-pulse,Animation,Animation,Animation,Aura ring pulse,,,code,P1,,,code,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,"Code-drawn in AuraTickIndicator.ts. Auras are the ONLY way anything interacts, so this is the combat language."
music-main-theme,Audio,Music,Music,Main theme,,derpy-berryhunter.mp3,placeholder,P1,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,"The only music track in the game, autoplaying at boot, and it is INHERITED BERRYHUNTER BRANDING. Replacing it is identity work, not polish."
music-zone-1-ambient-bed,Audio,Music,Music,Zone 1 ambient bed,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,"Farmland day. Idyllic, unhurried — the tone the whole zone is built to sell."
music-zone-2-ambient-bed,Audio,Music,Music,Zone 2 ambient bed,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,"Deep forest. Close, damp, few people. Must work under the Canopy darkness."
music-combat-stinger,Audio,Music,Music,Combat stinger,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,Entering/leaving combat. No combat music exists.
music-boss-theme,Audio,Music,Music,Boss theme,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,The Orc Warlord — the only boss and the v1 completion beat.
music-ascension-theme,Audio,Music,Music,Ascension theme,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,The 10 s channel that ends a character. The most important moment in the progression loop and it is silent.
music-cave-underworld-bed,Audio,Music,Music,Cave/underworld bed,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,loops seamlessly; volume under GameSettings audio.musicVolume; @pixi/sound,,,The tunnel and underworld. Pairs with Cave Air darkness 1.0.
sfx-footsteps-road,Audio,SFX,SFX,Footsteps — road,,750798__…road ×3,drawn,P3,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Three variants exist and are wired.
sfx-footsteps-grass,Audio,SFX,SFX,Footsteps — grass,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Zone 1 is entirely grass and the player sounds like they are on a road.
sfx-footsteps-forest-floor,Audio,SFX,SFX,Footsteps — forest floor,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Zone 2. Surface-aware footsteps need the region profile to be readable at the player position — Regions.resolve already answers that.
sfx-footsteps-mud-water,Audio,SFX,SFX,Footsteps — mud/water,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,"River shallows, bog, camp mud."
sfx-campfire-crackle-loop,Audio,SFX,SFX,Campfire crackle loop,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Spatial loop at every campfire. The navigation landmark should be audible before it is visible.
sfx-river-loop,Audio,SFX,SFX,River loop,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Spatial loop along Water paths. SpatialAudio.ts already exists.
sfx-aura-hum-tick,Audio,SFX,SFX,Aura hum / tick,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,The aura is the whole combat system and it is silent. Pairs with the tick indicator.
sfx-level-up,Audio,SFX,SFX,Level up,,,missing,P1,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,No sound on the single most rewarding event in the loop.
sfx-quest-accept-complete,Audio,SFX,SFX,Quest accept / complete,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,Quest flow is entirely silent.
sfx-player-hurt,Audio,SFX,SFX,Player hurt,,413175__… ×5,drawn,P3,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,"Five inherited variants, wired."
sfx-player-swing,Audio,SFX,SFX,Player swing,,541994__… ×6,drawn,P3,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,"Six inherited variants, wired."
sfx-mob-death-per-family,Audio,SFX,SFX,Mob death — per family,,,missing,P2,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,One generic death today. Wolf/bandit/kobold/spider families should differ.
sfx-ui-click-panel,Audio,SFX,SFX,UI click / panel,,,missing,P3,,,MP3,frontend/src/features/audio/assets/,short; mono for spatial; @pixi/sound via SoundData.ts,,,The Inked Panel UI pass shipped C1–C8 with no audio at all.
